danceability,tempo,energy,valence,mode,id,cluster
0.696,132.962,0.809,0.857,1,6AQbmUe0Qwf5PZnt4HmTXv,12
0.707,117.999,0.681,0.646,1,0yLdNVWF3Srea0uzk55zFn,12
0.644,88.98,0.735,0.418,1,1Qrg8KqiBpW07V7PNxwwwL,6
0.538,96.107,0.742,0.25,1,5Z2MiIZ5I3jJvvmeWMLbOQ,6
0.715,97.95,0.62,0.172,0,2dHHgzDwk4BJdRwy9uXhTO,13
0.778,122.104,0.632,0.498,0,4nrPB8O7Y7wsOCJdgXkthe,13
0.801,106.999,0.806,0.802,1,0WtM2NBVQNNJLh6scP13H8,12
0.52,173.93,0.731,0.662,0,4LRPiXqCikLlN15c3yImP7,11
0.78,115.042,0.689,0.642,1,1xzi1Jcr7mEi9K2RfzLOqS,12
0.714,131.121,0.472,0.238,1,3nqQXoyQOWXiESFLlDF1hG,0
0.515,94.467,0.593,0.153,1,5odlY52u43F5BjByhxg7wg,6
0.662,107.001,0.398,0.468,0,4sx6NRwL6Ol3V6m9exwGlQ,1
0.637,97.008,0.643,0.533,1,0V3wPSX9ygBnCm8psDIegu,5
0.561,128.04,0.965,0.304,0,4uUG5RXrOk84mYEfFvj3cK,3
0.954,105.001,0.516,0.624,1,6UN73IYd0hZxLi8wFPMQij,12
0.486,150.187,0.545,0.0385,1,4FyesJzVpA39hbYvcseO2d,8
0.735,146.016,0.449,0.514,0,3zkyus0njMCL6phZmNNEeN,13
0.559,143.008,0.551,0.392,1,4iZ4pt7kvcaH6Yo8UoZ4s2,0
0.574,132.023,0.469,0.288,1,78Sw5GDo6AlGwTwanjXbGh,0
0.696,120.003,0.793,0.698,1,6BePGk3eCan4FqaW2X8Qy3,12
0.838,144.981,0.525,0.884,1,0QHEIqNKsMoOY5urbzN48u,12
0.804,126.956,0.771,0.739,0,65FftemJ1DbbZ45DUfHJXE,4
0.733,100.964,0.67,0.472,1,0O6u0VJ46W86TxN9wgyqDj,12
0.704,139.994,0.797,0.825,1,4h9wh7iOZ0GGn8QVp4RAOB,12
0.698,114.914,0.895,0.838,1,3i0FkJYlU4MFfYkjFHXXAM,12
0.587,145.007,0.742,0.199,0,73vIOb4Q7YN6HeJTbscRx5,3
0.517,203.853,0.675,0.518,1,59uQI0PADDKeE6UZDTJEe8,10
0.783,167.968,0.729,0.58,0,4FAKtPVycI4DxoOHC01YqD,11
0.637,141.872,0.715,0.308,0,38T0tPVZHcPZyhtOcCP7pF,13
