speechiness,instrumentalness,acousticness,liveness,loudness,id,cluster
0.05,0.000128,0.252,0.248,-8.254,6AQbmUe0Qwf5PZnt4HmTXv,0
0.0668,5.15e-06,0.0632,0.0322,-4.325,0yLdNVWF3Srea0uzk55zFn,0
0.0391,0.144,0.0521,0.161,-5.747,1Qrg8KqiBpW07V7PNxwwwL,0
0.114,4.67e-05,0.138,0.0934,-5.355,5Z2MiIZ5I3jJvvmeWMLbOQ,0
0.0484,0.0,0.417,0.0822,-6.005,2dHHgzDwk4BJdRwy9uXhTO,0
0.0493,0.0,0.274,0.0915,-5.6,4nrPB8O7Y7wsOCJdgXkthe,0
0.0381,0.000669,0.382,0.114,-5.206,0WtM2NBVQNNJLh6scP13H8,0
0.0557,0.00101,0.342,0.311,-5.338,4LRPiXqCikLlN15c3yImP7,2
0.141,9.69e-06,0.0368,0.0698,-5.668,1xzi1Jcr7mEi9K2RfzLOqS,0
0.0864,4.51e-06,0.013,0.266,-7.375,3nqQXoyQOWXiESFLlDF1hG,0
0.0322,0.162,0.653,0.25,-4.801,5odlY52u43F5BjByhxg7wg,4
0.0275,0.0,0.716,0.111,-6.691,4sx6NRwL6Ol3V6m9exwGlQ,4
0.0519,1.8e-06,0.13,0.142,-6.571,0V3wPSX9ygBnCm8psDIegu,0
0.0343,7.07e-06,0.00383,0.371,-3.673,4uUG5RXrOk84mYEfFvj3cK,2
0.16,7.54e-06,0.03,0.0504,-5.817,6UN73IYd0hZxLi8wFPMQij,0
0.0336,0.00474,0.0652,0.0642,-7.924,4FyesJzVpA39hbYvcseO2d,0
0.383,0.0,0.859,0.213,-9.933,3zkyus0njMCL6phZmNNEeN,3
0.132,0.0,0.141,0.11,-7.231,4iZ4pt7kvcaH6Yo8UoZ4s2,0
0.0254,9.21e-05,0.534,0.128,-8.209,78Sw5GDo6AlGwTwanjXbGh,4
0.097,3.78e-06,0.0683,0.18,-5.733,6BePGk3eCan4FqaW2X8Qy3,0
0.0665,1.92e-06,0.345,0.0771,-3.562,0QHEIqNKsMoOY5urbzN48u,0
0.0433,3.07e-06,0.357,0.108,-4.067,65FftemJ1DbbZ45DUfHJXE,0
0.0751,0.0,0.121,0.121,-6.009,0O6u0VJ46W86TxN9wgyqDj,0
0.0475,0.000745,0.0826,0.0546,-5.927,4h9wh7iOZ0GGn8QVp4RAOB,0
0.0628,1.45e-05,0.172,0.409,-4.439,3i0FkJYlU4MFfYkjFHXXAM,2
0.0529,0.00107,0.0128,0.146,-6.64,73vIOb4Q7YN6HeJTbscRx5,0
0.0357,0.0,0.459,0.151,-5.382,59uQI0PADDKeE6UZDTJEe8,0
0.0691,0.000272,0.0492,0.1,-3.549,4FAKtPVycI4DxoOHC01YqD,0
0.0455,0.0,0.148,0.0892,-4.971,38T0tPVZHcPZyhtOcCP7pF,0
0.244,1.86e-06,0.0503,0.355,-9.342,1bDbXMyjaUIooNwFE9wn0N,3
0.178,0.67,0.111,0.13,-14.52,2mnXxnrX5vCGolNkaFvVeM,5
0.0286,0.0,0.777,0.202,-5.339,1Y3LN4zO1Edc2EluIoSPJN,4
0.08,0.000573,0.258,0.157,-10.489,5jQI2r1RdgtuT8S3iG8zFC,0
0.0468,0.0,0.298,0.106,-4.595,1qEmFfgcLObUfQm0j1W2CK,0
0.0678,1.31e-05,0.551,0.102,-7.621,26b3oVLrRUaaybJulow9kz,4
0.0285,0.0,0.805,0.183,-8.285,5Y35SjAfXjjG0sFQ3KOxmm,4
0.04,8.35e-06,0.555,0.0954,-12.151,3WMj8moIAXJhHsyLaqIIHI,4
0.0283,0.0,0.00151,0.0762,-5.001,1Ame8XTX6QHY0l0ahqUhgv,0
0.0357,7.51e-05,0.626,0.383,-7.097,5CM4UuQ9Gnd6K2YyKGPMoK,2
0.0626,0.00057,0.0369,0.0959,-8.044,1rrqJ9QkOBYJlsZgqqwxgB,0
0.034,0.0,0.0268,0.224,-4.912,6dgUya35uo964z7GZXM07g,0
0.0656,0.0,0.0995,0.335,-6.305,1PckUlxKqWQs3RlWXVBLw3,2
0.0364,1.98e-06,0.583,0.218,-5.329,5ww2BF9slyYgNOk37BlC4u,4
0.046,0.0,0.0206,0.0754,-3.678,0HqZX76SFLDz2aW8aiqi7G,0
0.0554,0.0216,0.0464,0.111,-6.512,1N8TTK1Uoy7UvQNUazfUt5,0
0.253,0.000291,0.0993,0.126,-5.198,1IHWl5LamUGEuP4ozKQSXZ,3
0.0315,0.0,0.899,0.131,-6.083,35ovElsgyAtQwYPYnZJECg,4
0.255,3.23e-05,0.0777,0.145,-7.574,0hquQWY3xvYqN4qtiquniF,3
0.273,2.32e-06,0.129,0.188,-5.522,2SiAcexM2p1yX6joESbehd,3
0.259,2.36e-06,0.152,0.194,-5.3,0vjeOZ3Ft5jvAi9SBFJm1j,3
0.45,0.0,0.00642,0.3,-8.454,4MUlNqSrMeFAHA6VpJKMo8,3
0.0386,0.103,0.0103,0.153,-7.18,0FA4wrjDJvJTTU8AepZTup,0
0.0338,0.0,0.122,0.323,-3.694,1CJ8e0zc8uvAmkqdeXrq4u,2
0.159,0.0,0.414,0.201,-12.072,1T4k0sw0HldDg004Kw4Oct,4
0.0706,0.0,0.217,0.143,-5.426,5BbdKBZO0TH0GhfxUfyhL9,0
0.419,0.0,0.117,0.528,-6.396,5BmB3OaQyYXCqRyN8iR2Yi,3
0.309,8.66e-05,0.189,0.147,-5.567,4WuOWVnAqvEQxgSRrspBgt,3
0.393,2.22e-06,0.217,0.121,-8.407,7E68rHH6CrKbBYPfpiCLiQ,3
0.108,0.0,0.181,0.0691,-4.963,5ht9obvnnWeW4eoRtPAoQD,0
0.255,0.0,0.0212,0.0919,-8.796,2i2qDe3dnTl6maUE31FO7c,3
0.339,0.0,0.324,0.0534,-8.492,68Dni7IE4VyPkTOH9mRWHr,3
0.421,0.0,0.0769,0.1,-10.1,7hrcHfHWaLhooHzGltlCYB,3
0.367,0.0,0.0861,0.0745,-8.716,12Us8e6NFesdkXKf4StU1I,3
0.277,0.0,0.0103,0.146,-8.078,0UMqDSXk4xvoCNRrIEPf7T,3
0.0464,2.37e-05,0.189,0.122,-4.392,2Hh3ETdQKrmSI3QS0hme7g,0
0.204,2.18e-06,0.00424,0.201,-7.991,0T0vseuNB4KC8opkrCLNbc,3
0.0612,0.0,0.0168,0.108,-7.239,1a7tOEheXeaSNathZW4Gzk,0
0.0438,0.0,0.000113,0.444,-4.737,3QHGfxhjexLaMKGHXagfRs,2
0.317,0.0,0.0864,0.201,-7.398,5gAwpwuchaCGnJLlBMGBzp,3
0.336,6.81e-06,0.696,0.23,-6.595,0yUaLqhsVsguBpoOPL4cO7,3
0.116,0.0,0.0623,0.353,-6.652,2KLwPaRDOB87XOYAT2fgxh,2
0.414,0.0,0.0393,0.128,-6.636,2UQ2oUbHiB8wWYCE42JX0k,3
0.207,0.0,0.0351,0.241,-2.692,7CpXFEjLntpr4GdOhTtFEv,3
0.432,0.0,0.0901,0.145,-9.415,3084aAzars6DR26nCWO9Ep,3
0.0564,0.0,0.0135,0.135,-7.468,1hnNjI1da0xqGhR81JFVdx,0
0.275,0.0,0.115,0.0895,-10.181,5JS1gz9zP4GTy0LZYvSeUK,3
0.186,5.47e-05,0.031,0.096,-8.623,5B40Td13cDQ4adeAiLf8Z4,0
0.284,0.0,0.0392,0.105,-5.488,6yDPFrHZLQbQa9Itd2J4Gp,3
0.24,0.0,0.0537,0.309,-3.539,3fNMgjG8yXaSam46swhz7w,3
0.414,0.0,0.0432,0.353,-3.392,5c2IvJeaFx4m2DmOR1iryD,3
0.177,0.0,0.338,0.0981,-8.652,6DswwzQlABrNoqjNydtvuX,0
0.345,0.0,0.0906,0.287,-6.519,4EvFzNPsp8iyiEO9LDHopv,3
0.216,1.7e-05,0.172,0.332,-6.234,7k5lDslyLbcykzUOPGEdKR,3
0.0587,0.0,0.579,0.167,-11.952,3RKjTYlQrtLXCq5ncswBPp,4
0.0579,0.00136,0.000502,0.128,-5.671,5R5UNKWsmMPpFq5JHK93Fw,0
0.0979,1.89e-05,0.0741,0.59,-4.408,53acd3PVcgGCux58YABBr5,2
0.109,0.0,0.00377,0.0719,-5.61,6aGpM4DXts4pdRhVKbRYuk,0
0.0535,6.76e-05,0.0431,0.148,-5.581,65nmqAEqW7CJIkXOIkxyg8,0
0.064,0.00418,0.0339,0.183,-8.122,21wkixaulehrFctAvEhvQl,0
0.279,0.0,0.0255,0.336,-11.931,4ZyivnzrvDWRjihgqxvXK8,3
0.35,2.68e-06,0.194,0.0783,-7.525,6clDsO8HwhHEgJDDp88VdL,3
0.242,8.79e-06,0.21,0.275,-7.41,6IyoLWzljeR3ldQo4KWHT6,3
0.298,0.0,0.0369,0.178,-5.294,4lxTmHPgoRWwM9QisWobJL,3
0.0471,1.71e-05,0.194,0.109,-8.27,46DB28jumopDyMuYhjoydV,0
0.064,0.000494,0.241,0.113,-7.482,4CCrZzRdeWYrWJ0DoN4XCa,0
0.0461,0.0,0.105,0.153,-6.459,6HBRLaSQ7NB8MNlaqzYen1,0
0.0287,0.0,0.00799,0.141,-4.608,4qbibbQ1yK0rPl0JUJS0bz,0
0.0312,0.00549,7.02e-05,0.121,-5.204,6Tm4Io4ct4w14nB1EUzsY3,0
0.0502,0.0,0.679,0.419,-7.153,2fBvSCdG3lDjImqJvnYtvq,2
0.0311,0.0,0.149,0.237,-7.419,3qXsX3mYSsD1DmAvc3PE3N,0
0.0352,0.0,0.695,0.107,-8.735,1brnLTvarI9D1hLP6z2Ar8,4
0.0633,0.0,0.00408,0.104,-4.807,6Z1bV93BP95h4YjIavrQPf,0
0.029,7.23e-06,0.126,0.115,-6.637,3fl4zil6HJ0N1FL3YIRwdC,0
0.0333,1.03e-06,0.0425,0.172,-4.394,3sT4lmGZF9Gy6XaLYvwH7A,0
0.0275,0.0,0.577,0.105,-7.3,4686eQ81DEswHa90bcdlC9,4
0.0329,0.0,0.00714,0.143,-3.058,5wtPc1OQ7g1H8FBkwWqbhh,0
0.026,0.0,0.0998,0.211,-4.716,3nei8eHEdiwwSfyoOCHPZI,0
0.0363,1.12e-05,0.0189,0.0858,-4.272,5kB6WithhB8Iv08EMNmAbt,0
0.0378,0.0,0.0985,0.101,-4.532,5b4n4Lp2ZAPDGO9nQM5IHR,0
0.0464,0.0,0.167,0.11,-4.235,2DPqR0kuZVjrOF5oxIRYPy,0
