speechiness,instrumentalness,acousticness,energy,danceability,valence,id,cluster
0.05,0.000128,0.252,0.809,0.696,0.857,6AQbmUe0Qwf5PZnt4HmTXv,3
0.0668,5.15e-06,0.0632,0.681,0.707,0.646,0yLdNVWF3Srea0uzk55zFn,3
0.0391,0.144,0.0521,0.735,0.644,0.418,1Qrg8KqiBpW07V7PNxwwwL,0
0.114,4.67e-05,0.138,0.742,0.538,0.25,5Z2MiIZ5I3jJvvmeWMLbOQ,0
0.0484,0.0,0.417,0.62,0.715,0.172,2dHHgzDwk4BJdRwy9uXhTO,4
0.0493,0.0,0.274,0.632,0.778,0.498,4nrPB8O7Y7wsOCJdgXkthe,3
0.0381,0.000669,0.382,0.806,0.801,0.802,0WtM2NBVQNNJLh6scP13H8,3
0.0557,0.00101,0.342,0.731,0.52,0.662,4LRPiXqCikLlN15c3yImP7,3
0.141,9.69e-06,0.0368,0.689,0.78,0.642,1xzi1Jcr7mEi9K2RfzLOqS,3
0.0864,4.51e-06,0.013,0.472,0.714,0.238,3nqQXoyQOWXiESFLlDF1hG,0
0.0322,0.162,0.653,0.593,0.515,0.153,5odlY52u43F5BjByhxg7wg,4
0.0275,0.0,0.716,0.398,0.662,0.468,4sx6NRwL6Ol3V6m9exwGlQ,4
0.0519,1.8e-06,0.13,0.643,0.637,0.533,0V3wPSX9ygBnCm8psDIegu,3
0.0343,7.07e-06,0.00383,0.965,0.561,0.304,4uUG5RXrOk84mYEfFvj3cK,0
0.16,7.54e-06,0.03,0.516,0.954,0.624,6UN73IYd0hZxLi8wFPMQij,3
0.0336,0.00474,0.0652,0.545,0.486,0.0385,4FyesJzVpA39hbYvcseO2d,0
0.383,0.0,0.859,0.449,0.735,0.514,3zkyus0njMCL6phZmNNEeN,2
0.132,0.0,0.141,0.551,0.559,0.392,4iZ4pt7kvcaH6Yo8UoZ4s2,0
0.0254,9.21e-05,0.534,0.469,0.574,0.288,78Sw5GDo6AlGwTwanjXbGh,4
0.097,3.78e-06,0.0683,0.793,0.696,0.698,6BePGk3eCan4FqaW2X8Qy3,3
0.0665,1.92e-06,0.345,0.525,0.838,0.884,0QHEIqNKsMoOY5urbzN48u,3
0.0433,3.07e-06,0.357,0.771,0.804,0.739,65FftemJ1DbbZ45DUfHJXE,3
0.0751,0.0,0.121,0.67,0.733,0.472,0O6u0VJ46W86TxN9wgyqDj,3
0.0475,0.000745,0.0826,0.797,0.704,0.825,4h9wh7iOZ0GGn8QVp4RAOB,3
0.0628,1.45e-05,0.172,0.895,0.698,0.838,3i0FkJYlU4MFfYkjFHXXAM,3
0.0529,0.00107,0.0128,0.742,0.587,0.199,73vIOb4Q7YN6HeJTbscRx5,0
0.0357,0.0,0.459,0.675,0.517,0.518,59uQI0PADDKeE6UZDTJEe8,4
0.0691,0.000272,0.0492,0.729,0.783,0.58,4FAKtPVycI4DxoOHC01YqD,3
0.0455,0.0,0.148,0.715,0.637,0.308,38T0tPVZHcPZyhtOcCP7pF,0
0.244,1.86e-06,0.0503,0.52,0.561,0.424,1bDbXMyjaUIooNwFE9wn0N,2
0.178,0.67,0.111,0.234,0.887,0.197,2mnXxnrX5vCGolNkaFvVeM,6
0.0286,0.0,0.777,0.55,0.551,0.342,1Y3LN4zO1Edc2EluIoSPJN,4
0.08,0.000573,0.258,0.436,0.733,0.0976,5jQI2r1RdgtuT8S3iG8zFC,4
0.0468,0.0,0.298,0.728,0.714,0.901,1qEmFfgcLObUfQm0j1W2CK,3
0.0678,1.31e-05,0.551,0.422,0.573,0.693,26b3oVLrRUaaybJulow9kz,4
0.0285,0.0,0.805,0.284,0.358,0.276,5Y35SjAfXjjG0sFQ3KOxmm,5
0.04,8.35e-06,0.555,0.192,0.369,0.148,3WMj8moIAXJhHsyLaqIIHI,5
0.0283,0.0,0.00151,0.595,0.519,0.237,1Ame8XTX6QHY0l0ahqUhgv,0
0.0357,7.51e-05,0.626,0.507,0.686,0.69,5CM4UuQ9Gnd6K2YyKGPMoK,4
0.0626,0.00057,0.0369,0.503,0.792,0.381,1rrqJ9QkOBYJlsZgqqwxgB,3
0.034,0.0,0.0268,0.697,0.74,0.732,6dgUya35uo964z7GZXM07g,3
0.0656,0.0,0.0995,0.743,0.836,0.722,1PckUlxKqWQs3RlWXVBLw3,3
0.0364,1.98e-06,0.583,0.679,0.835,0.85,5ww2BF9slyYgNOk37BlC4u,3
0.046,0.0,0.0206,0.742,0.773,0.571,0HqZX76SFLDz2aW8aiqi7G,3
0.0554,0.0216,0.0464,0.785,0.73,0.649,1N8TTK1Uoy7UvQNUazfUt5,3
0.253,0.000291,0.0993,0.715,0.65,0.187,1IHWl5LamUGEuP4ozKQSXZ,2
0.0315,0.0,0.899,0.299,0.247,0.172,35ovElsgyAtQwYPYnZJECg,5
0.255,3.23e-05,0.0777,0.601,0.801,0.74,0hquQWY3xvYqN4qtiquniF,2
0.273,2.32e-06,0.129,0.634,0.555,0.555,2SiAcexM2p1yX6joESbehd,2
0.259,2.36e-06,0.152,0.606,0.526,0.492,0vjeOZ3Ft5jvAi9SBFJm1j,2
0.45,0.0,0.00642,0.495,0.513,0.105,4MUlNqSrMeFAHA6VpJKMo8,2
0.0386,0.103,0.0103,0.897,0.686,0.355,0FA4wrjDJvJTTU8AepZTup,0
0.0338,0.0,0.122,0.701,0.747,0.149,1CJ8e0zc8uvAmkqdeXrq4u,0
0.159,0.0,0.414,0.251,0.462,0.137,1T4k0sw0HldDg004Kw4Oct,4
0.0706,0.0,0.217,0.517,0.877,0.255,5BbdKBZO0TH0GhfxUfyhL9,4
0.419,0.0,0.117,0.606,0.938,0.706,5BmB3OaQyYXCqRyN8iR2Yi,2
0.309,8.66e-05,0.189,0.658,0.671,0.257,4WuOWVnAqvEQxgSRrspBgt,2
0.393,2.22e-06,0.217,0.503,0.609,0.502,7E68rHH6CrKbBYPfpiCLiQ,2
0.108,0.0,0.181,0.684,0.779,0.526,5ht9obvnnWeW4eoRtPAoQD,3
0.255,0.0,0.0212,0.64,0.898,0.68,2i2qDe3dnTl6maUE31FO7c,2
0.339,0.0,0.324,0.521,0.69,0.494,68Dni7IE4VyPkTOH9mRWHr,2
0.421,0.0,0.0769,0.541,0.511,0.248,7hrcHfHWaLhooHzGltlCYB,2
0.367,0.0,0.0861,0.667,0.603,0.655,12Us8e6NFesdkXKf4StU1I,2
