key,duration_ms,tempo,mode,instrumentalness,id,cluster
5,131013,132.962,1,0.000128,6AQbmUe0Qwf5PZnt4HmTXv,1
0,200455,117.999,1,5.15e-06,0yLdNVWF3Srea0uzk55zFn,5
8,153947,88.98,1,0.144,1Qrg8KqiBpW07V7PNxwwwL,4
2,272373,96.107,1,4.67e-05,5Z2MiIZ5I3jJvvmeWMLbOQ,5
1,221520,97.95,0,0.0,2dHHgzDwk4BJdRwy9uXhTO,2
2,218289,122.104,0,0.0,4nrPB8O7Y7wsOCJdgXkthe,2
11,239318,106.999,1,0.000669,0WtM2NBVQNNJLh6scP13H8,4
6,167303,173.93,0,0.00101,4LRPiXqCikLlN15c3yImP7,0
7,225389,115.042,1,9.69e-06,1xzi1Jcr7mEi9K2RfzLOqS,4
2,156943,131.121,1,4.51e-06,3nqQXoyQOWXiESFLlDF1hG,5
4,209260,94.467,1,0.162,5odlY52u43F5BjByhxg7wg,5
11,145850,107.001,0,0.0,4sx6NRwL6Ol3V6m9exwGlQ,0
4,200690,97.008,1,1.8e-06,0V3wPSX9ygBnCm8psDIegu,5
7,175238,128.04,0,7.07e-06,4uUG5RXrOk84mYEfFvj3cK,0
6,139560,105.001,1,7.54e-06,6UN73IYd0hZxLi8wFPMQij,4
11,123891,150.187,1,0.00474,4FyesJzVpA39hbYvcseO2d,4
2,175890,146.016,0,0.0,3zkyus0njMCL6phZmNNEeN,2
5,201800,143.008,1,0.0,4iZ4pt7kvcaH6Yo8UoZ4s2,1
4,242485,132.023,1,9.21e-05,78Sw5GDo6AlGwTwanjXbGh,5
8,172253,120.003,1,3.78e-06,6BePGk3eCan4FqaW2X8Qy3,4
10,134256,144.981,1,1.92e-06,0QHEIqNKsMoOY5urbzN48u,4
9,212253,126.956,0,3.07e-06,65FftemJ1DbbZ45DUfHJXE,0
5,192841,100.964,1,0.0,0O6u0VJ46W86TxN9wgyqDj,4
0,148486,139.994,1,0.000745,4h9wh7iOZ0GGn8QVp4RAOB,5
0,229605,114.914,1,1.45e-05,3i0FkJYlU4MFfYkjFHXXAM,5
6,206000,145.007,0,0.00107,73vIOb4Q7YN6HeJTbscRx5,0
6,163855,203.853,1,0.0,59uQI0PADDKeE6UZDTJEe8,1
6,216148,167.968,0,0.000272,4FAKtPVycI4DxoOHC01YqD,0
2,210576,141.872,0,0.0,38T0tPVZHcPZyhtOcCP7pF,2
11,239360,153.15,0,1.86e-06,1bDbXMyjaUIooNwFE9wn0N,0
9,196800,140.02,1,0.67,2mnXxnrX5vCGolNkaFvVeM,3
10,176440,101.19,1,0.0,1Y3LN4zO1Edc2EluIoSPJN,4
10,202396,96.985,1,0.000573,5jQI2r1RdgtuT8S3iG8zFC,4
10,177955,114.996,1,0.0,1qEmFfgcLObUfQm0j1W2CK,4
10,184791,124.357,0,1.31e-05,26b3oVLrRUaaybJulow9kz,0
7,180853,99.796,1,0.0,5Y35SjAfXjjG0sFQ3KOxmm,4
4,228013,175.212,0,8.35e-06,3WMj8moIAXJhHsyLaqIIHI,2
2,247067,129.786,1,0.0,1Ame8XTX6QHY0l0ahqUhgv,5
1,232115,168.955,1,7.51e-05,5CM4UuQ9Gnd6K2YyKGPMoK,1
1,185093,99.97,1,0.00057,1rrqJ9QkOBYJlsZgqqwxgB,5
8,163648,138.992,1,0.0,6dgUya35uo964z7GZXM07g,4
10,191822,108.966,0,0.0,1PckUlxKqWQs3RlWXVBLw3,0
7,162638,124.98,0,1.98e-06,5ww2BF9slyYgNOk37BlC4u,0
5,165265,114.071,0,0.0,0HqZX76SFLDz2aW8aiqi7G,2
8,147875,94.094,1,0.0216,1N8TTK1Uoy7UvQNUazfUt5,4
5,243717,106.672,0,0.000291,1IHWl5LamUGEuP4ozKQSXZ,2
9,196520,177.115,1,0.0,35ovElsgyAtQwYPYnZJECg,1
8,182907,159.969,0,3.23e-05,0hquQWY3xvYqN4qtiquniF,0
6,174045,170.228,0,2.32e-06,2SiAcexM2p1yX6joESbehd,0
5,182667,116.622,0,2.36e-06,0vjeOZ3Ft5jvAi9SBFJm1j,2
1,179533,150.035,1,0.0,4MUlNqSrMeFAHA6VpJKMo8,1
11,163139,129.975,0,0.103,0FA4wrjDJvJTTU8AepZTup,0
6,162305,104.995,0,0.0,1CJ8e0zc8uvAmkqdeXrq4u,2
4,167977,89.705,0,0.0,1T4k0sw0HldDg004Kw4Oct,2
2,162053,119.996,0,0.0,5BbdKBZO0TH0GhfxUfyhL9,2
6,123673,121.108,0,0.0,5BmB3OaQyYXCqRyN8iR2Yi,2
2,207307,87.933,1,8.66e-05,4WuOWVnAqvEQxgSRrspBgt,5
8,200000,168.363,0,2.22e-06,7E68rHH6CrKbBYPfpiCLiQ,0
8,174240,124.034,1,0.0,5ht9obvnnWeW4eoRtPAoQD,4
5,153600,149.988,0,0.0,2i2qDe3dnTl6maUE31FO7c,2
10,292799,100.028,0,0.0,68Dni7IE4VyPkTOH9mRWHr,0
10,235711,101.228,0,0.0,7hrcHfHWaLhooHzGltlCYB,0
10,186697,141.561,0,0.0,12Us8e6NFesdkXKf4StU1I,0
1,214594,125.061,1,0.0,0UMqDSXk4xvoCNRrIEPf7T,5
7,199920,88.048,0,2.37e-05,2Hh3ETdQKrmSI3QS0hme7g,0
2,261825,120.013,1,2.18e-06,0T0vseuNB4KC8opkrCLNbc,5
11,205893,151.978,0,0.0,1a7tOEheXeaSNathZW4Gzk,0
9,168161,142.026,1,0.0,3QHGfxhjexLaMKGHXagfRs,4
11,213206,160.054,0,0.0,5gAwpwuchaCGnJLlBMGBzp,0
0,129362,141.059,1,6.81e-06,0yUaLqhsVsguBpoOPL4cO7,5
4,242027,122.03,0,0.0,2KLwPaRDOB87XOYAT2fgxh,2
1,197692,156.104,1,0.0,2UQ2oUbHiB8wWYCE42JX0k,1
1,169693,149.961,1,0.0,7CpXFEjLntpr4GdOhTtFEv,1
2,187826,137.921,1,0.0,3084aAzars6DR26nCWO9Ep,5
2,169500,97.201,1,0.0,1hnNjI1da0xqGhR81JFVdx,5
6,159973,95.753,0,0.0,5JS1gz9zP4GTy0LZYvSeUK,2
11,148855,83.962,0,5.47e-05,5B40Td13cDQ4adeAiLf8Z4,0
0,206769,129.976,1,0.0,6yDPFrHZLQbQa9Itd2J4Gp,5
0,177231,130.094,1,0.0,3fNMgjG8yXaSam46swhz7w,5
1,140573,166.784,1,0.0,5c2IvJeaFx4m2DmOR1iryD,1
1,144594,132.986,0,0.0,6DswwzQlABrNoqjNydtvuX,2
2,128000,100.281,1,0.0,4EvFzNPsp8iyiEO9LDHopv,5
2,185280,146.051,1,1.7e-05,7k5lDslyLbcykzUOPGEdKR,1
2,115556,134.978,1,0.0,3RKjTYlQrtLXCq5ncswBPp,5
11,240968,123.994,0,0.00136,5R5UNKWsmMPpFq5JHK93Fw,0
8,195254,118.027,1,1.89e-05,53acd3PVcgGCux58YABBr5,4
1,131053,99.042,1,0.0,6aGpM4DXts4pdRhVKbRYuk,5
1,180760,140.078,1,6.76e-05,65nmqAEqW7CJIkXOIkxyg8,5
8,191758,95.375,1,0.00418,21wkixaulehrFctAvEhvQl,4
1,170435,137.943,1,0.0,4ZyivnzrvDWRjihgqxvXK8,5
4,152372,87.99,0,2.68e-06,6clDsO8HwhHEgJDDp88VdL,2
4,150242,128.07,0,8.79e-06,6IyoLWzljeR3ldQo4KWHT6,2
10,145655,145.11,0,0.0,4lxTmHPgoRWwM9QisWobJL,0
0,230533,124.966,0,1.71e-05,46DB28jumopDyMuYhjoydV,2
0,194306,142.881,0,0.000494,4CCrZzRdeWYrWJ0DoN4XCa,2
2,186791,124.872,1,0.0,6HBRLaSQ7NB8MNlaqzYen1,5
7,196890,123.885,1,0.0,4qbibbQ1yK0rPl0JUJS0bz,4
8,183790,110.024,1,0.00549,6Tm4Io4ct4w14nB1EUzsY3,4
10,177920,117.836,1,0.0,2fBvSCdG3lDjImqJvnYtvq,4
4,229627,139.807,1,0.0,3qXsX3mYSsD1DmAvc3PE3N,1
3,174560,99.945,1,0.0,1brnLTvarI9D1hLP6z2Ar8,5
7,179645,114.984,1,0.0,6Z1bV93BP95h4YjIavrQPf,4
9,223120,156.031,1,7.23e-06,3fl4zil6HJ0N1FL3YIRwdC,1
11,162842,114.034,1,1.03e-06,3sT4lmGZF9Gy6XaLYvwH7A,4
1,207541,121.991,1,0.0,4686eQ81DEswHa90bcdlC9,5
10,194267,109.97,1,0.0,5wtPc1OQ7g1H8FBkwWqbhh,4
0,174173,90.015,1,0.0,3nei8eHEdiwwSfyoOCHPZI,5
6,172480,118.977,1,1.12e-05,5kB6WithhB8Iv08EMNmAbt,4
1,176618,146.154,1,0.0,5b4n4Lp2ZAPDGO9nQM5IHR,1
8,155120,201.831,1,0.0,2DPqR0kuZVjrOF5oxIRYPy,1
7,171880,105.007,1,3.78e-05,4aSRUXfKuBbmje0eXNukuL,4
0,174193,82.93,1,0.0,1xk2TQgJNtH3FErgICPgmb,5
0,203680,98.025,1,0.0,6Awl7JBDQjfm7xkS3LkhDi,5
11,225813,81.98,1,1.45e-06,5Jwcv2Le3Klwgrgyqa12ZA,4
5,189307,155.928,1,0.0,6kCFt2ATuMIE5H9zVEJXei,1
9,199040,139.974,1,1.01e-05,5ZCjp56T8J6d7amJyFSzrI,4
2,221520,84.08,1,5.79e-05,5AihIu9yF3flkw1jFMyfwW,5
5,161200,86.1,0,0.0,7ETjhPaIU4UmHOiimJBZz9,2
4,183413,76.989,1,0.0,2DvOwcQd7RB5IV7MdlwpvN,5
5,169760,133.889,1,0.0,4viFAHmivkYQKkwLvwKOgg,1
3,195587,80.993,1,5.87e-06,57YkkgxAiusJPMtiSG3w3c,5
9,191227,137.854,1,0.0,5OLaVCAM2pqg7X9mAM2W8M,4
